Date,Price,Open,High,Low,Vol.,Change %,Change
1/1/2009,825.9,903,943.9,804.3,,-8.56%,-8.56
12/1/2008,903.2,888.6,918.9,815.7,,0.78%,0.78
11/1/2008,896.2,968.7,"1,007.50",741,,-7.49%,-7.49
10/1/2008,968.8,"1,164.20","1,167.00",839.8,,-16.94%,-16.94
9/1/2008,"1,166.40","1,287.80","1,303.00","1,106.40",,-9.07%,-9.07
8/1/2008,"1,282.80","1,269.40","1,313.20","1,247.50",,1.22%,1.22
7/1/2008,"1,267.40","1,276.70","1,292.20","1,200.40",,-0.98%,-0.98
6/1/2008,"1,280.00","1,399.60","1,404.00","1,272.00",,-8.60%,-8.6
5/1/2008,"1,400.40","1,386.00","1,440.20","1,373.10",,1.07%,1.07
4/1/2008,"1,385.60","1,326.40","1,404.60","1,324.30",,4.76%,4.76
3/1/2008,"1,322.70","1,330.50","1,359.70","1,257.00",,-0.59%,-0.59
2/1/2008,"1,330.60","1,378.60","1,396.00","1,316.80",,-3.47%,-3.47
1/1/2008,"1,378.50","1,468.00","1,471.80","1,270.00",,-6.12%,-6.12
12/1/2007,"1,468.40","1,479.60","1,523.60","1,435.70",,-0.86%,-0.86
11/1/2007,"1,481.10","1,545.80","1,545.80","1,406.10",,-4.41%,-4.41
10/1/2007,"1,549.40","1,527.30","1,576.10","1,489.60",,1.48%,1.48
9/1/2007,"1,526.80","1,474.00","1,538.70","1,439.30",,3.58%,3.58
8/1/2007,"1,474.00","1,455.20","1,503.90","1,370.60",,1.28%,1.28
7/1/2007,"1,455.30","1,504.70","1,555.90","1,454.20",,-3.19%,-3.19
6/1/2007,"1,503.30","1,530.60","1,540.60","1,484.20",,-1.78%,-1.78
5/1/2007,"1,530.60","1,482.40","1,535.60","1,476.70",,3.25%,3.25
4/1/2007,"1,482.40","1,420.80","1,498.00","1,416.40",,4.33%,4.33
3/1/2007,"1,420.90","1,406.80","1,438.90","1,364.00",,1.00%,1
2/1/2007,"1,406.80","1,437.90","1,461.60","1,389.40",,-2.18%,-2.18
1/1/2007,"1,438.20","1,418.00","1,441.60","1,404.00",,1.40%,1.4
12/1/2006,"1,418.30","1,400.60","1,431.80","1,385.90",,1.26%,1.26
11/1/2006,"1,400.60","1,377.80","1,407.90","1,361.00",,1.65%,1.65
10/1/2006,"1,377.90","1,335.80","1,389.50","1,327.10",,3.15%,3.15
9/1/2006,"1,335.80","1,303.80","1,340.30","1,290.90",,2.45%,2.45
8/1/2006,"1,303.80","1,278.50","1,306.70","1,261.30",,2.12%,2.12
7/1/2006,"1,276.70","1,270.10","1,280.40","1,224.50",,0.51%,0.51
6/1/2006,"1,270.20","1,270.00","1,290.70","1,219.30",,0.01%,0.01
5/1/2006,"1,270.10","1,310.60","1,326.70","1,245.30",,-3.09%,-3.09
4/1/2006,"1,310.60","1,302.90","1,318.20","1,280.70",,1.22%,1.22
3/1/2006,"1,294.80","1,280.70","1,310.90","1,268.40",,1.10%,1.1
2/1/2006,"1,280.70","1,280.10","1,297.60","1,253.60",,0.05%,0.05
1/1/2006,"1,280.10","1,248.30","1,294.90","1,245.70",,2.55%,2.55
12/1/2005,"1,248.30","1,249.50","1,275.80","1,246.60",,-0.10%,-0.1
11/1/2005,"1,249.50","1,207.00","1,270.60","1,201.10",,3.52%,3.52
10/1/2005,"1,207.00","1,228.80","1,233.30","1,168.20",,-1.77%,-1.77
9/1/2005,"1,228.80","1,220.30","1,243.10","1,205.30",,0.70%,0.7
8/1/2005,"1,220.30","1,234.20","1,245.90","1,201.10",,-1.13%,-1.13
7/1/2005,"1,234.20","1,191.30","1,245.20","1,183.50",,3.60%,3.6
6/1/2005,"1,191.30","1,191.50","1,219.60","1,188.30",,-0.02%,-0.02
5/1/2005,"1,191.50","1,156.80","1,199.60","1,146.20",,3.00%,3
4/1/2005,"1,156.80","1,180.60","1,191.90","1,136.20",,-2.02%,-2.02
3/1/2005,"1,180.60","1,203.60","1,229.10","1,163.70",,-1.91%,-1.91
2/1/2005,"1,203.60","1,181.30","1,212.40","1,181.00",,1.89%,1.89
1/1/2005,"1,181.30","1,211.90","1,217.90","1,163.80",,-2.52%,-2.52
12/1/2004,"1,211.90","1,173.80","1,217.30","1,173.80",,3.25%,3.25
11/1/2004,"1,173.80","1,130.20","1,188.50","1,127.50",,3.86%,3.86
10/1/2004,"1,130.20","1,114.60","1,142.00","1,090.20",,1.40%,1.4
9/1/2004,"1,114.60","1,104.20","1,131.50","1,099.10",,0.94%,0.94
8/1/2004,"1,104.20","1,101.70","1,109.70","1,060.70",,0.23%,0.23
7/1/2004,"1,101.70","1,140.80","1,140.80","1,078.80",,-3.43%,-3.43
6/1/2004,"1,140.80","1,120.70","1,146.30","1,113.30",,1.79%,1.79
5/1/2004,"1,120.70","1,107.30","1,127.70","1,076.30",,1.21%,1.21
4/1/2004,"1,107.30","1,126.20","1,150.60","1,107.20",,-1.68%,-1.68
3/1/2004,"1,126.20","1,144.90","1,163.20","1,087.10",,-1.63%,-1.63
2/1/2004,"1,144.90","1,131.10","1,159.00","1,124.40",,1.22%,1.22
1/1/2004,"1,131.10","1,111.90","1,155.40","1,105.10",,1.73%,1.73
12/1/2003,"1,111.90","1,058.20","1,112.60","1,053.40",,5.07%,5.07
11/1/2003,"1,058.20","1,050.70","1,063.70","1,031.20",,0.71%,0.71
10/1/2003,"1,050.70",996,"1,053.80",996,,5.49%,5.49
9/1/2003,996,"1,008.00","1,040.30",990.4,,-1.19%,-1.19
